option,rate,run,window,timeout_s,ack_error,data_error,ack_loss,data_loss,completion_time_s
3,0,1,5,0.2,0.0,0.0,0.0,0.0,0.001441
3,0,2,5,0.2,0.0,0.0,0.0,0.0,0.001426
3,0,3,5,0.2,0.0,0.0,0.0,0.0,0.001374
3,0,4,5,0.2,0.0,0.0,0.0,0.0,0.001186
3,0,5,5,0.2,0.0,0.0,0.0,0.0,0.001391
3,5,1,5,0.2,0.0,0.05,0.0,0.0,0.209859
3,5,2,5,0.2,0.0,0.05,0.0,0.0,0.410346
3,5,3,5,0.2,0.0,0.05,0.0,0.0,0.203378
3,5,4,5,0.2,0.0,0.05,0.0,0.0,0.211020
3,5,5,5,0.2,0.0,0.05,0.0,0.0,0.214294
3,10,1,5,0.2,0.0,0.1,0.0,0.0,0.001273
3,10,2,5,0.2,0.0,0.1,0.0,0.0,0.217601
3,10,3,5,0.2,0.0,0.1,0.0,0.0,0.001316
3,10,4,5,0.2,0.0,0.1,0.0,0.0,0.001254
3,10,5,5,0.2,0.0,0.1,0.0,0.0,0.001386
3,15,1,5,0.2,0.0,0.15,0.0,0.0,0.426982
3,15,2,5,0.2,0.0,0.15,0.0,0.0,0.001775
3,15,3,5,0.2,0.0,0.15,0.0,0.0,0.001285
3,15,4,5,0.2,0.0,0.15,0.0,0.0,0.417357
3,15,5,5,0.2,0.0,0.15,0.0,0.0,0.001297
3,20,1,5,0.2,0.0,0.2,0.0,0.0,0.421281
3,20,2,5,0.2,0.0,0.2,0.0,0.0,0.422887
3,20,3,5,0.2,0.0,0.2,0.0,0.0,1.057338
3,20,4,5,0.2,0.0,0.2,0.0,0.0,1.039414
3,20,5,5,0.2,0.0,0.2,0.0,0.0,0.857494
3,25,1,5,0.2,0.0,0.25,0.0,0.0,0.213671
3,25,2,5,0.2,0.0,0.25,0.0,0.0,1.464569
3,25,3,5,0.2,0.0,0.25,0.0,0.0,0.627037
3,25,4,5,0.2,0.0,0.25,0.0,0.0,0.612320
3,25,5,5,0.2,0.0,0.25,0.0,0.0,1.248243
3,30,1,5,0.2,0.0,0.3,0.0,0.0,1.238886
3,30,2,5,0.2,0.0,0.3,0.0,0.0,0.639321
3,30,3,5,0.2,0.0,0.3,0.0,0.0,0.211041
3,30,4,5,0.2,0.0,0.3,0.0,0.0,1.029600
3,30,5,5,0.2,0.0,0.3,0.0,0.0,0.422370
3,35,1,5,0.2,0.0,0.35,0.0,0.0,1.027899
3,35,2,5,0.2,0.0,0.35,0.0,0.0,1.267995
3,35,3,5,0.2,0.0,0.35,0.0,0.0,1.280198
3,35,4,5,0.2,0.0,0.35,0.0,0.0,1.265763
3,35,5,5,0.2,0.0,0.35,0.0,0.0,1.679106
3,40,1,5,0.2,0.0,0.4,0.0,0.0,1.279179
3,40,2,5,0.2,0.0,0.4,0.0,0.0,0.625946
3,40,3,5,0.2,0.0,0.4,0.0,0.0,0.209072
3,40,4,5,0.2,0.0,0.4,0.0,0.0,2.310591
3,40,5,5,0.2,0.0,0.4,0.0,0.0,0.646940
3,45,1,5,0.2,0.0,0.45,0.0,0.0,1.468892
3,45,2,5,0.2,0.0,0.45,0.0,0.0,1.063542
3,45,3,5,0.2,0.0,0.45,0.0,0.0,2.102956
3,45,4,5,0.2,0.0,0.45,0.0,0.0,1.260880
3,45,5,5,0.2,0.0,0.45,0.0,0.0,0.826258
3,50,1,5,0.2,0.0,0.5,0.0,0.0,3.769481
3,50,2,5,0.2,0.0,0.5,0.0,0.0,1.258794
3,50,3,5,0.2,0.0,0.5,0.0,0.0,4.172613
3,50,4,5,0.2,0.0,0.5,0.0,0.0,2.906117
3,50,5,5,0.2,0.0,0.5,0.0,0.0,0.848704
3,55,1,5,0.2,0.0,0.55,0.0,0.0,2.535523
3,55,2,5,0.2,0.0,0.55,0.0,0.0,3.552680
3,55,3,5,0.2,0.0,0.55,0.0,0.0,3.323302
3,55,4,5,0.2,0.0,0.55,0.0,0.0,2.936108
3,55,5,5,0.2,0.0,0.55,0.0,0.0,3.722716
3,60,1,5,0.2,0.0,0.6,0.0,0.0,1.051218
3,60,2,5,0.2,0.0,0.6,0.0,0.0,1.703672
3,60,3,5,0.2,0.0,0.6,0.0,0.0,2.921620
3,60,4,5,0.2,0.0,0.6,0.0,0.0,4.371586
3,60,5,5,0.2,0.0,0.6,0.0,0.0,5.440413
3,65,1,5,0.2,0.0,0.65,0.0,0.0,2.709504
3,65,2,5,0.2,0.0,0.65,0.0,0.0,4.029780
3,65,3,5,0.2,0.0,0.65,0.0,0.0,3.531572
3,65,4,5,0.2,0.0,0.65,0.0,0.0,1.881265
3,65,5,5,0.2,0.0,0.65,0.0,0.0,3.337556
3,70,1,5,0.2,0.0,0.7,0.0,0.0,2.554429
3,70,2,5,0.2,0.0,0.7,0.0,0.0,5.428165
3,70,3,5,0.2,0.0,0.7,0.0,0.0,2.748149
3,70,4,5,0.2,0.0,0.7,0.0,0.0,3.931241
3,70,5,5,0.2,0.0,0.7,0.0,0.0,6.045396
3,75,1,5,0.2,0.0,0.75,0.0,0.0,2.899225
3,75,2,5,0.2,0.0,0.75,0.0,0.0,3.094049
3,75,3,5,0.2,0.0,0.75,0.0,0.0,4.113292
3,75,4,5,0.2,0.0,0.75,0.0,0.0,3.537488
3,75,5,5,0.2,0.0,0.75,0.0,0.0,7.103697
3,80,1,5,0.2,0.0,0.8,0.0,0.0,10.000000
