option,rate,run,window,timeout_s,ack_error,data_error,ack_loss,data_loss,completion_time_s
1,0,1,5,0.2,0.0,0.0,0.0,0.0,0.003802
1,0,2,5,0.2,0.0,0.0,0.0,0.0,0.003053
1,0,3,5,0.2,0.0,0.0,0.0,0.0,0.002744
1,0,4,5,0.2,0.0,0.0,0.0,0.0,0.003101
1,0,5,5,0.2,0.0,0.0,0.0,0.0,0.002983
1,5,1,5,0.2,0.0,0.0,0.0,0.0,0.003423
1,5,2,5,0.2,0.0,0.0,0.0,0.0,0.002856
1,5,3,5,0.2,0.0,0.0,0.0,0.0,0.003004
1,5,4,5,0.2,0.0,0.0,0.0,0.0,0.003165
1,5,5,5,0.2,0.0,0.0,0.0,0.0,0.003016
1,10,1,5,0.2,0.0,0.0,0.0,0.0,0.002832
1,10,2,5,0.2,0.0,0.0,0.0,0.0,0.002836
1,10,3,5,0.2,0.0,0.0,0.0,0.0,0.002869
1,10,4,5,0.2,0.0,0.0,0.0,0.0,0.002758
1,10,5,5,0.2,0.0,0.0,0.0,0.0,0.002670
1,15,1,5,0.2,0.0,0.0,0.0,0.0,0.003383
1,15,2,5,0.2,0.0,0.0,0.0,0.0,0.002991
1,15,3,5,0.2,0.0,0.0,0.0,0.0,0.003153
1,15,4,5,0.2,0.0,0.0,0.0,0.0,0.002770
1,15,5,5,0.2,0.0,0.0,0.0,0.0,0.002680
1,20,1,5,0.2,0.0,0.0,0.0,0.0,0.003757
1,20,2,5,0.2,0.0,0.0,0.0,0.0,0.002829
1,20,3,5,0.2,0.0,0.0,0.0,0.0,0.002720
1,20,4,5,0.2,0.0,0.0,0.0,0.0,0.003811
1,20,5,5,0.2,0.0,0.0,0.0,0.0,0.003457
1,25,1,5,0.2,0.0,0.0,0.0,0.0,0.004168
1,25,2,5,0.2,0.0,0.0,0.0,0.0,0.002820
1,25,3,5,0.2,0.0,0.0,0.0,0.0,0.003104
1,25,4,5,0.2,0.0,0.0,0.0,0.0,0.003082
