option,rate,run,window,timeout_s,ack_error,data_error,ack_loss,data_loss,completion_time_s
2,0,1,5,0.2,0.0,0.0,0.0,0.0,0.001323
2,0,2,5,0.2,0.0,0.0,0.0,0.0,0.001299
2,0,3,5,0.2,0.0,0.0,0.0,0.0,0.001288
2,0,4,5,0.2,0.0,0.0,0.0,0.0,0.001332
2,0,5,5,0.2,0.0,0.0,0.0,0.0,0.001337
2,5,1,5,0.2,0.05,0.0,0.0,0.0,0.001322
2,5,2,5,0.2,0.05,0.0,0.0,0.0,0.001361
2,5,3,5,0.2,0.05,0.0,0.0,0.0,0.001340
2,5,4,5,0.2,0.05,0.0,0.0,0.0,0.001315
2,5,5,5,0.2,0.05,0.0,0.0,0.0,0.001394
2,10,1,5,0.2,0.1,0.0,0.0,0.0,0.001343
2,10,2,5,0.2,0.1,0.0,0.0,0.0,0.001371
2,10,3,5,0.2,0.1,0.0,0.0,0.0,0.001348
2,10,4,5,0.2,0.1,0.0,0.0,0.0,0.001333
2,10,5,5,0.2,0.1,0.0,0.0,0.0,0.001282
2,15,1,5,0.2,0.15,0.0,0.0,0.0,0.001392
2,15,2,5,0.2,0.15,0.0,0.0,0.0,0.001312
2,15,3,5,0.2,0.15,0.0,0.0,0.0,0.001184
2,15,4,5,0.2,0.15,0.0,0.0,0.0,0.001363
2,15,5,5,0.2,0.15,0.0,0.0,0.0,0.205516
2,20,1,5,0.2,0.2,0.0,0.0,0.0,0.001326
2,20,2,5,0.2,0.2,0.0,0.0,0.0,0.001407
2,20,3,5,0.2,0.2,0.0,0.0,0.0,0.001428
2,20,4,5,0.2,0.2,0.0,0.0,0.0,0.001428
2,20,5,5,0.2,0.2,0.0,0.0,0.0,0.001350
2,25,1,5,0.2,0.25,0.0,0.0,0.0,0.203233
2,25,2,5,0.2,0.25,0.0,0.0,0.0,0.208677
2,25,3,5,0.2,0.25,0.0,0.0,0.0,0.001317
2,25,4,5,0.2,0.25,0.0,0.0,0.0,0.216254
2,25,5,5,0.2,0.25,0.0,0.0,0.0,0.001283
2,30,1,5,0.2,0.3,0.0,0.0,0.0,0.001349
2,30,2,5,0.2,0.3,0.0,0.0,0.0,0.202448
2,30,3,5,0.2,0.3,0.0,0.0,0.0,0.001435
2,30,4,5,0.2,0.3,0.0,0.0,0.0,0.001359
2,30,5,5,0.2,0.3,0.0,0.0,0.0,0.001348
2,35,1,5,0.2,0.35,0.0,0.0,0.0,0.001359
2,35,2,5,0.2,0.35,0.0,0.0,0.0,0.001371
2,35,3,5,0.2,0.35,0.0,0.0,0.0,0.207392
2,35,4,5,0.2,0.35,0.0,0.0,0.0,0.001340
2,35,5,5,0.2,0.35,0.0,0.0,0.0,0.212100
2,40,1,5,0.2,0.4,0.0,0.0,0.0,0.001184
2,40,2,5,0.2,0.4,0.0,0.0,0.0,0.210184
2,40,3,5,0.2,0.4,0.0,0.0,0.0,0.001283
2,40,4,5,0.2,0.4,0.0,0.0,0.0,0.218845
2,40,5,5,0.2,0.4,0.0,0.0,0.0,0.427998
2,45,1,5,0.2,0.45,0.0,0.0,0.0,10.000000
2,45,2,5,0.2,0.45,0.0,0.0,0.0,0.001362
2,45,3,5,0.2,0.45,0.0,0.0,0.0,0.001263
2,45,4,5,0.2,0.45,0.0,0.0,0.0,1.032708
