option,rate,run,window,timeout_s,ack_error,data_error,ack_loss,data_loss,completion_time_s
4,0,1,5,0.2,0.0,0.0,0.0,0.0,0.001316
4,0,2,5,0.2,0.0,0.0,0.0,0.0,0.001255
4,0,3,5,0.2,0.0,0.0,0.0,0.0,0.001237
4,0,4,5,0.2,0.0,0.0,0.0,0.0,0.001281
4,0,5,5,0.2,0.0,0.0,0.0,0.0,0.001311
4,5,1,5,0.2,0.0,0.0,0.05,0.0,0.001273
4,5,2,5,0.2,0.0,0.0,0.05,0.0,0.001446
4,5,3,5,0.2,0.0,0.0,0.05,0.0,0.001348
4,5,4,5,0.2,0.0,0.0,0.05,0.0,0.001331
4,5,5,5,0.2,0.0,0.0,0.05,0.0,0.001235
4,10,1,5,0.2,0.0,0.0,0.1,0.0,0.001319
4,10,2,5,0.2,0.0,0.0,0.1,0.0,0.001231
4,10,3,5,0.2,0.0,0.0,0.1,0.0,0.001298
4,10,4,5,0.2,0.0,0.0,0.1,0.0,0.001291
4,10,5,5,0.2,0.0,0.0,0.1,0.0,0.001251
4,15,1,5,0.2,0.0,0.0,0.15,0.0,0.001254
4,15,2,5,0.2,0.0,0.0,0.15,0.0,0.001311
4,15,3,5,0.2,0.0,0.0,0.15,0.0,0.001257
4,15,4,5,0.2,0.0,0.0,0.15,0.0,0.001307
4,15,5,5,0.2,0.0,0.0,0.15,0.0,0.001173
4,20,1,5,0.2,0.0,0.0,0.2,0.0,0.001292
4,20,2,5,0.2,0.0,0.0,0.2,0.0,0.001285
4,20,3,5,0.2,0.0,0.0,0.2,0.0,0.208802
4,20,4,5,0.2,0.0,0.0,0.2,0.0,0.001340
4,20,5,5,0.2,0.0,0.0,0.2,0.0,0.001280
4,25,1,5,0.2,0.0,0.0,0.25,0.0,0.207720
4,25,2,5,0.2,0.0,0.0,0.25,0.0,0.001228
4,25,3,5,0.2,0.0,0.0,0.25,0.0,0.208396
4,25,4,5,0.2,0.0,0.0,0.25,0.0,0.001300
4,25,5,5,0.2,0.0,0.0,0.25,0.0,0.001351
4,30,1,5,0.2,0.0,0.0,0.3,0.0,0.215423
4,30,2,5,0.2,0.0,0.0,0.3,0.0,0.001246
4,30,3,5,0.2,0.0,0.0,0.3,0.0,0.001273
4,30,4,5,0.2,0.0,0.0,0.3,0.0,0.207655
4,30,5,5,0.2,0.0,0.0,0.3,0.0,0.440833
4,35,1,5,0.2,0.0,0.0,0.35,0.0,0.211067
4,35,2,5,0.2,0.0,0.0,0.35,0.0,0.208816
4,35,3,5,0.2,0.0,0.0,0.35,0.0,0.001435
4,35,4,5,0.2,0.0,0.0,0.35,0.0,0.001333
4,35,5,5,0.2,0.0,0.0,0.35,0.0,0.001240
4,40,1,5,0.2,0.0,0.0,0.4,0.0,0.001394
4,40,2,5,0.2,0.0,0.0,0.4,0.0,0.208818
4,40,3,5,0.2,0.0,0.0,0.4,0.0,0.209485
4,40,4,5,0.2,0.0,0.0,0.4,0.0,0.424774
4,40,5,5,0.2,0.0,0.0,0.4,0.0,0.218052
4,45,1,5,0.2,0.0,0.0,0.45,0.0,0.001346
4,45,2,5,0.2,0.0,0.0,0.45,0.0,0.001167
4,45,3,5,0.2,0.0,0.0,0.45,0.0,0.215245
4,45,4,5,0.2,0.0,0.0,0.45,0.0,0.209896
4,45,5,5,0.2,0.0,0.0,0.45,0.0,0.001337
4,50,1,5,0.2,0.0,0.0,0.5,0.0,0.001379
4,50,2,5,0.2,0.0,0.0,0.5,0.0,0.207281
4,50,3,5,0.2,0.0,0.0,0.5,0.0,0.001318
4,50,4,5,0.2,0.0,0.0,0.5,0.0,0.001185
4,50,5,5,0.2,0.0,0.0,0.5,0.0,0.418032
4,55,1,5,0.2,0.0,0.0,0.55,0.0,0.611492
4,55,2,5,0.2,0.0,0.0,0.55,0.0,0.001350
4,55,3,5,0.2,0.0,0.0,0.55,0.0,0.204758
4,55,4,5,0.2,0.0,0.0,0.55,0.0,0.209929
4,55,5,5,0.2,0.0,0.0,0.55,0.0,0.001325
4,60,1,5,0.2,0.0,0.0,0.6,0.0,10.000000
4,60,2,5,0.2,0.0,0.0,0.6,0.0,0.001274
4,60,3,5,0.2,0.0,0.0,0.6,0.0,0.206898
4,60,4,5,0.2,0.0,0.0,0.6,0.0,10.000000
4,60,5,5,0.2,0.0,0.0,0.6,0.0,10.000000
4,65,1,5,0.2,0.0,0.0,0.65,0.0,0.001315
4,65,2,5,0.2,0.0,0.0,0.65,0.0,0.219331
4,65,3,5,0.2,0.0,0.0,0.65,0.0,0.422314
4,65,4,5,0.2,0.0,0.0,0.65,0.0,0.209217
4,65,5,5,0.2,0.0,0.0,0.65,0.0,0.204877
4,70,1,5,0.2,0.0,0.0,0.7,0.0,0.206726
4,70,2,5,0.2,0.0,0.0,0.7,0.0,0.215275
4,70,3,5,0.2,0.0,0.0,0.7,0.0,0.434100
4,70,4,5,0.2,0.0,0.0,0.7,0.0,0.209956
4,70,5,5,0.2,0.0,0.0,0.7,0.0,0.419136
4,75,1,5,0.2,0.0,0.0,0.75,0.0,0.419707
4,75,2,5,0.2,0.0,0.0,0.75,0.0,0.207933
4,75,3,5,0.2,0.0,0.0,0.75,0.0,0.410986
4,75,4,5,0.2,0.0,0.0,0.75,0.0,0.001355
4,75,5,5,0.2,0.0,0.0,0.75,0.0,0.207342
4,80,1,5,0.2,0.0,0.0,0.8,0.0,0.430822
