option,window,run,fixed_rate,timeout_s,ack_error,data_error,ack_loss,data_loss,completion_time_s
5,1,1,10,0.2,0.0,0.0,0.0,0.1,0.002077
5,1,2,10,0.2,0.0,0.0,0.0,0.1,0.002012
5,1,3,10,0.2,0.0,0.0,0.0,0.1,0.002183
5,1,4,10,0.2,0.0,0.0,0.0,0.1,0.204824
5,1,5,10,0.2,0.0,0.0,0.0,0.1,0.002022
5,2,1,10,0.2,0.0,0.0,0.0,0.1,0.205221
5,2,2,10,0.2,0.0,0.0,0.0,0.1,0.214522
5,2,3,10,0.2,0.0,0.0,0.0,0.1,0.425761
5,2,4,10,0.2,0.0,0.0,0.0,0.1,0.217913
5,2,5,10,0.2,0.0,0.0,0.0,0.1,0.001367
5,5,1,10,0.2,0.0,0.0,0.0,0.1,0.414252
5,5,2,10,0.2,0.0,0.0,0.0,0.1,0.430388
5,5,3,10,0.2,0.0,0.0,0.0,0.1,0.223284
5,5,4,10,0.2,0.0,0.0,0.0,0.1,0.417378
5,5,5,10,0.2,0.0,0.0,0.0,0.1,0.001369
5,10,1,10,0.2,0.0,0.0,0.0,0.1,0.001309
5,10,2,10,0.2,0.0,0.0,0.0,0.1,0.001285
5,10,3,10,0.2,0.0,0.0,0.0,0.1,0.441310
5,10,4,10,0.2,0.0,0.0,0.0,0.1,0.001333
5,10,5,10,0.2,0.0,0.0,0.0,0.1,0.626375
5,20,1,10,0.2,0.0,0.0,0.0,0.1,0.644857
5,20,2,10,0.2,0.0,0.0,0.0,0.1,0.001251
5,20,3,10,0.2,0.0,0.0,0.0,0.1,0.219751
5,20,4,10,0.2,0.0,0.0,0.0,0.1,0.219306
5,20,5,10,0.2,0.0,0.0,0.0,0.1,0.208964
5,50,1,10,0.2,0.0,0.0,0.0,0.1,0.001299
5,50,2,10,0.2,0.0,0.0,0.0,0.1,0.215920
5,50,3,10,0.2,0.0,0.0,0.0,0.1,0.221689
5,50,4,10,0.2,0.0,0.0,0.0,0.1,0.001243
5,50,5,10,0.2,0.0,0.0,0.0,0.1,0.001316
