loss_percent,run,time_s
0,1,0.010983500047586858
0,2,0.01041109999641776
0,3,0.011746000032871962
5,1,0.012761999969370663
5,2,0.014430499984882772
5,3,0.009733599959872663
10,1,0.6162719000130892
10,2,0.6324855999555439
10,3,0.6188350999727845
15,1,0.6214803999755532
15,2,0.6346485000103712
15,3,0.6290543999057263
20,1,0.9633755000540987
20,2,0.9349719999590889
20,3,0.9376801999751478
25,1,0.9476259000366554
25,2,0.9475282999919727
25,3,0.9509911000495777
30,1,0.9397237999364734
30,2,0.9204004000639543
30,3,0.9493660000152886
35,1,0.9617060000309721
35,2,0.9250433000270277
35,3,0.9456757999723777
40,1,1.8516267000231892
40,2,1.8858949000714347
40,3,1.831086999969557
45,1,2.456155400024727
45,2,2.4809180001029745
45,3,2.460483399918303
50,1,2.7751376999076456
50,2,2.75205080001615
50,3,2.77052299992647
55,1,3.3930542999878526
55,2,3.3860870000207797
55,3,3.384654900059104
60,1,5.797223600093275
60,2,5.864424200030044
60,3,5.81243330007419
65,1,5.532388100051321
65,2,5.535640900023282
65,3,5.525146400090307
70,1,6.119861699989997
70,2,6.108526600059122
70,3,6.107656199950725
75,1,7.635031200014055
75,2,7.662773000076413
75,3,7.616155399940908
80,1,8.248760599992238
80,2,8.23417149996385
80,3,8.27435299998615
85,1,10.677364000002854
85,2,10.73136890004389
85,3,10.678909200010821
90,1,14.984310899977572
90,2,15.035715300007723
90,3,15.018165300018154
95,1,43.15875609999057
95,2,43.458588500041515
95,3,42.98435749998316
