rate,avg_time_s
0.0,0.20667190100211882
0.05,0.14085327299835626
0.1,0.14209302999952342
0.15,0.14681555460119852
0.2,0.1478553400011151
0.25,0.14522339700051817
0.3,0.1890641329999198
0.35,0.16413115239993203
0.4,0.17890149459999521
0.45,0.15825001040211645
0.5,0.16039753899676726
0.55,0.1658006175974151
0.6,0.1834400256004301
0.65,0.18779328399978112
0.7,0.19471675520035206
0.75,0.2232313326006988
0.8,0.25087122360273495
0.85,0.28584618359745945
0.9,0.39444160959974395
0.95,0.6041850674009765
