rate,avg_time_s
0.0,0.1328865825998946
0.05,0.13382254020252732
0.1,0.15074366180051585
0.15,0.13066768079879693
0.2,0.13092774939868831
0.25,0.13890361900121206
0.3,0.14578792540123686
0.35,0.13696852620050776
0.4,0.13761079299874837
0.45,0.13774382679985137
0.5,0.13934096799930556
0.55,0.14104360060155158
0.6,0.14102751059981528
0.65,0.13716855339880568
0.7,0.14211734940035967
0.75,0.13492506400070853
0.8,0.13714044719963567
0.85,0.15382271900016348
0.9,0.13610045960085698
0.95,0.13794674459932138
