rate,avg_time_s
0.0,0.14128777900041314
0.05,0.1419531804014696
0.1,0.14360632540046936
0.15,0.4019303354012663
0.2,0.15136478919739602
0.25,0.15618429580063092
0.3,0.14570630679809254
0.35,0.148460139198869
0.4,0.17518367499869783
0.45,0.15472420000005513
0.5,0.18885130720154847
0.55,0.16415037780097919
0.6,0.43352960820193404
0.65,0.18880839119810844
0.7,0.2098876735995873
0.75,0.9834689702009201
0.8,0.7513654603986651
0.85,0.28706112119980387
0.9,0.8899100208014715
0.95,2.255572684199433
