rate,avg_time_s
0.0,0.13880531239992705
0.05,0.18867341299919643
0.1,0.33339723760000195
0.15,0.4233329438022338
0.2,0.28700392059836305
0.25,0.3184912612006883
0.3,0.3602616846008459
0.35,0.5427251286004321
0.4,0.4447212843981106
0.45,0.26096189319941915
0.5,0.39200521879829464
0.55,0.33045257560152097
0.6,0.2432068983966019
0.65,0.39322410359600324
0.7,0.3142024247994414
0.75,0.37308725580078317
0.8,0.5084995352008264
0.85,0.6029719232014031
0.9,0.41753122879890725
0.95,1.7237167898012558
