rate,avg_time_s
0.0,0.14286974099231883
0.05,0.13112789999577218
0.1,0.12958906059502623
0.15,0.1380233168019913
0.2,0.1300217368057929
0.25,0.13260658960207367
0.3,0.13273116400232537
0.35,0.12776692879851909
0.4,0.1357676880026702
0.45,0.13608055899385363
0.5,0.12892791340127588
0.55,0.1346624493948184
0.6,0.13266103679779917
0.65,0.14217862579971552
0.7,0.14121158919297158
0.75,0.1371959985990543
0.8,0.14083950839121825
0.85,0.13368989119189792
0.9,0.13665525799733585
0.95,0.13997717300080695
