rate,avg_time_s
0.0,0.13976788080180996
0.05,0.13032301000785082
0.1,0.13512237059767357
0.15,0.39110478258808146
0.2,0.13991256880108266
0.25,0.13675311399274506
0.3,0.14335286779678427
0.35,0.15580305340699852
0.4,0.1464473356027156
0.45,0.15752877320046538
0.5,0.16310393539606594
0.55,0.1626128534087911
0.6,0.4346717516076751
0.65,0.18396007199189626
0.7,0.19092439420055599
0.75,0.9837353833951056
0.8,0.7496270435978658
0.85,0.2908326430071611
0.9,0.8822147603961639
0.95,2.252027521812124
